รหัส,ที่มา,วันที่,โครงการ,ประเภท,ห้อง,ตรม.,ชั้น,เช่า,ขาย,ทำเล,สถานี,ต้นทาง,เจ้าของ,ที่โพสต์,เพจ,หมายเหตุ
PTP5985,ชีท,15/11/2025,Fynn Aree (ฟินน์ อารีย์),คอนโด,2 Bed 1 Bath,47,8,"32,000",,"อารีย์, เจริญนคร","BTS อารีย์, BTS สนามเป้า, BTS กรุงธนบุรี",https://www.livinginsider.com/istockdetail/DIoooI_bfeejCg.html,,https://www.facebook.com/share/p/1ALJLwS8kY/?mibextid=wwXIfr,https://www.facebook.com/share/p/1BYvjjvkYG/?mibextid=wwXIfr,
PTP5984,ชีท,15/11/2025,Wish Signature Midtown Siam (วิช ซิกเนเจอร์ มิดทาวน์ สยาม),คอนโด,1 Bed 1 Bath,27,14,"19,000",,"ราชเทวี พญาไท, เจริญนคร","BTS กรุงธนบุรี, BTS เจริญนคร, BTS ราชเทวี",https://www.facebook.com/share/p/1ChVbar4t9/,https://www.facebook.com/gail.yutthas/,https://www.facebook.com/share/p/1aANe8yy85/?mibextid=wwXIfr,https://www.facebook.com/share/p/1BdUfYhGDd/?mibextid=wwXIfr,Wish Signature Midtown Siam
PTP5983,ชีท,15/11/2025,Niche Pride Thonglor-Phetchaburi (นิช ไพรด์ ทองหล่อ - เพชรบุรี),คอนโด,1 Bed 1 Bath,36,22,"16,000",,"ทองหล่อ, เพชรบุรีตัดใหม่, RCA, โรงพยาบาลกรุงเทพ, มศว ประสานมิตร","MRT เพชรบุรี, BTS ทองหล่อ, ARL มักกะสัน",https://www.facebook.com/share/p/17bwvse1St/?mibextid=wwXIfr,,https://www.facebook.com/share/p/1BVQTE6mNZ/?mibextid=wwXIfr,https://www.facebook.com/share/p/1A293eptvz/?mibextid=wwXIfr,
PTP5982,ชีท,14/11/2025,บ้านเดี่ยว รัชดาภิเษก ซอย 19,บ้าน,6 Bed 4 Bath,550,2,"100,000",,"รัชดา, ห้วยขวาง","MRT ห้วยขวาง, MRT รัชดาภิเษก, MRT สุทธิสาร",https://www.facebook.com/share/p/1ACpJtp1Mz/?mibextid=wwXIfr,,https://www.facebook.com/share/p/1D2zDVv4iY/?mibextid=wwXIfr,https://www.facebook.com/share/p/1D2zDVv4iY/?mibextid=wwXIfr,
PTP5981,ชีท,14/11/2025,Fullerton (ฟูลเลอตัน),คอนโด,2 Bed 2 Bath,105.35,24,"83,000",,ทองหล่อ,BTS ทองหล่อ,https://www.facebook.com/share/p/17VnKn7VyS/?mibextid=wwXIfr,,https://www.facebook.com/share/p/16zbRtSFRF/?mibextid=wwXIfr,https://www.facebook.com/share/p/16zbRtSFRF/?mibextid=wwXIfr,
PTP5980,ชีท,14/11/2025,Life Rama 4 - Asoke (ไลฟ์ พระราม 4 - อโศก),คอนโด,Studio,26.7,21,"22,500",,คลองเตย กล้วยน้ำไท,"MRT ศูนย์ประชุมแห่งชาติสิริกิติ์, MRT คลองเตย",https://www.facebook.com/share/p/19xR93Wiyw/?mibextid=wwXIfr,,https://www.facebook.com/share/p/1Ae5LBd16d/?mibextid=wwXIfr,https://www.facebook.com/share/p/1GdGULzbDE/?mibextid=wwXIfr,
PTP5979,ชีท,14/11/2025,House Ladprao 48 Soi 10 (บ้าน ลาดพร้าว 48 แยก 10),บ้าน,4 Bed 5 Bath,200,3,"150,000",,"ลาดพร้าว, นานา","MRT ลาดพร้าว, BTS ห้าแยกลาดพร้าว",https://www.facebook.com/share/p/1axjgLRi76/?mibextid=wwXIfr,,https://www.facebook.com/share/p/1AywdK22h1/?mibextid=wwXIfr,https://www.facebook.com/share/p/1AQcsNvvaq/?mibextid=wwXIfr,
PTP5978,ชีท,14/11/2025,Belle Grand Rama 9 (Belle Avenue) (เบล แกรนด์ พระราม 9 (เบล อเวนิว)),คอนโด,2 Bed 1 Bath,68,22,"35,000",,"เพชรบุรีตัดใหม่, RCA, พระราม 9, ห้วยขวาง","MRT พระราม 9, MRT ศูนย์วัฒนธรรมแห่งประเทศไทย",https://www.facebook.com/share/p/1SG3BVbatz/?mibextid=wwXIfr,,https://www.facebook.com/share/p/16LP5tGW43/?mibextid=wwXIfr,https://www.facebook.com/share/p/1YvLhAY5RQ/?mibextid=wwXIfr,
PTP5977,ชีท,14/11/2025,The Moment Ratchada 19 (เดอะ โมเมนต์ รัชดา 19),คอนโด,1 Bed 1 Bath,28,3,"15,000",,"รัชดา, ห้วยขวาง","MRT ห้วยขวาง, MRT รัชดาภิเษก, MRT สุทธิสาร",https://www.facebook.com/share/p/17kCppdJAp/?mibextid=wwXIfr,,https://www.facebook.com/share/p/1EiLjCm8qE/?mibextid=wwXIfr,https://www.facebook.com/share/p/1CYPBejsLi/?mibextid=wwXIfr,
PTP5976,ชีท,14/11/2025,Supalai Oriental Sukhumvit 39 (ศุภาลัย โอเรียนทัล สุขุมวิท 39),คอนโด,1 Bed 1 Bath,46,5,"25,000",,"ทองหล่อ, อโศก, สุขุมวิท, เพชรบุรีตัดใหม่, พร้อมพงษ์","MRT เพชรบุรี, BTS พร้อมพงษ์",https://www.livinginsider.com/istockdetail/DIoooI_bjfbebj.html,,https://www.facebook.com/share/p/17ca4Hhv3G/?mibextid=wwXIfr,https://www.facebook.com/share/p/1APdzntcAN/?mibextid=wwXIfr,
