name,url,zone_tags,offer_tags,price_band,notes
(20+) Plum Condo Sukhumvit 97.1 พลัม คอนโด สุขุมวิท 97.1 คอนโดให้เช่า,https://www.facebook.com/groups/505864511260722,sukhumvit,"rent,condo",,
(20+) Rent & Sale Condo Thailand ขาย ให้เช่า คอนโด บ้าน ที่ดิน,https://www.facebook.com/groups/1405020326448712,,"rent,sale,condo,house",,
(20+) Rent Sale condo BTS MRT ปล่อยเช่าคอนโด ซื้อ-ขาย หาห้องพัก,https://www.facebook.com/groups/454134418690334,,"rent,sale,condo",,
(20+) Rent Sell Condo Bangkok,https://www.facebook.com/groups/246668169039324,bangkok,"rent,condo",,
(20+) Short-Term Bangkok Condo Rentals,https://www.facebook.com/groups/1202174166860409,bangkok,"rent,condo",,
(20+) summoners war : chronicles (th) 🇹🇭 - พูดคุย / ซื้อขายแลกเปลี่ยน,https://www.facebook.com/groups/2539594646265815,,sale,,
(20+) The Tree Sukhumvit 71 - Ekamai เดอะ ทรี สุขุมวิท 71 - เอกมัย คอนโดให้เช่า,https://www.facebook.com/groups/613125880210525,"ekamai,sukhumvit","rent,condo",,
(20+) XT HUAIKWANG (เอ็กซ์ที ห้วยขวาง)ซื้อ ขาย เช่า คอนโด ครบเครื่อง,https://www.facebook.com/groups/1026324725037988,huaikhwang,"rent,sale,condo",,
(20+) กลุ่ม ซื้อ ขาย เช่า คอนโดย่านสาทร กรุงเทพฯ ตามแนวรถไฟฟ้า BTS MRT,https://www.facebook.com/groups/570276373309601,silom,"rent,sale,condo",,
(20+) กลุ่มคอนโดฝั่งธนบุรี ใกล้ BTS MRT ท่าพระ ตลาดพลู เพชรเกษม บางแค จรัญฯ,https://www.facebook.com/groups/3397058930622540,thonburi,condo,,
(20+) กลุ่มคอนโดให้เช่าและขาย ถนนสุขุมวิท พร้อมพงษ์ ทองหล่อ เอกมัย พระราม 9,https://www.facebook.com/groups/6368860906522731,"rama9,thonglor,ekamai,sukhumvit","rent,sale,condo",,
(20+) กลุ่มซื้อ ขาย เช่า บ้าน คอนโด ที่ดิน ทั่วไทย,https://www.facebook.com/groups/2277438709138306,,"rent,sale,condo,house",,
(20+) กลุ่มซื้อขาย - ให้เช่าคอนโดเท่านั้น,https://www.facebook.com/groups/1996508467234865,,"rent,sale,condo",,
(20+) กลุ่มซื้อขายและปล่อยเช่า คอนโด เขต พญาไท ราชเทวี จตุจักร บางซื่อ,https://www.facebook.com/groups/775596160726360,phayathai,"rent,sale,condo",,
(20+) ขาย - เช่า คอนโด โซน พระรามเก้า รัชดา ห้วยขวาง สุขุมวิท พร้อมพงษ์ ทองหล่อ,https://www.facebook.com/groups/1666070283868037,"thonglor,huaikhwang,ratchada,sukhumvit","rent,sale,condo",,
(20+) ขาย เช่า คอนโด กรุงเทพ โซน SCG สถานีกลางบางซื่อ MRT-บางซ่อน MRT-วงศ์สว่าง,https://www.facebook.com/groups/201506827113877,bangkok,"rent,sale,condo",,
(20+) ขาย เช่า คอนโด กรุงเทพ โซนบางนา อุดมสุข,https://www.facebook.com/groups/2064854547122015,bangna,"rent,sale,condo",,
(20+) ขาย เช่า คอนโด กรุงเทพ โซนลาดพร้าว จตุจักร,https://www.facebook.com/groups/183447625625227,ladprao,"rent,sale,condo",,
(20+) ขาย เช่า คอนโด กรุงเทพ โซนสยาม สีลม พญาไท อนุสาวรีย์,https://www.facebook.com/groups/360924021072344,"silom,phayathai","rent,sale,condo",,
(20+) ขาย เช่า คอนโด กรุงเทพ โซนสาทร ธนบุรี,https://www.facebook.com/groups/2090098571226788,"silom,thonburi","rent,sale,condo",,
(20+) ขาย เช่า คอนโด กรุงเทพ โซนอโศก พระรามเก้า เพรชบุรี,https://www.facebook.com/groups/2001941260072025,asoke,"rent,sale,condo",,
(20+) ขาย เช่า คอนโด กรุงเทพ โซนอ่อนนุช พระโขนง บางจาก,https://www.facebook.com/groups/423361974778083,onnut,"rent,sale,condo",,
(20+) ขาย เช่า คอนโด กรุงเทพ โซนเอกมัย ทองหล่อ รามคำแหง พัฒนาการ,https://www.facebook.com/groups/351409118682733,"thonglor,ekamai,ramkhamhaeng","rent,sale,condo",,
(20+) ขาย เช่า คอนโด บ้าน ที่ดิน ทั่วประเทศ,https://www.facebook.com/groups/971888629619654,,"rent,sale,condo,house",,
(20+) ขาย เช่า คอนโด รัชดา สุทธิสาร ห้วยขวาง พระราม 9,https://www.facebook.com/groups/3702309799798295,"rama9,huaikhwang,ratchada","rent,sale,condo",,
(20+) ขาย เช่า คอนโด ใกล้BTS จตุจักร ลาดพร้าว รัชโยธิน เกษตร บางเขน สะพานใหม่,https://www.facebook.com/groups/3972522996099940,ladprao,"rent,sale,condo",,
(20+) ขาย เช่า คอนโด ใกล้รถไฟฟ้า กรุงเทพ ลาดพร้าว รัชดา พระราม 9,https://www.facebook.com/groups/764362294733798,"ladprao,rama9,ratchada","rent,sale,condo",,
(20+) ขาย ให้เช่า คอนโด ห้องพัก บ้าน โซนสุขุมวิท พระโขนง อ่อนนุช บางนา,https://www.facebook.com/groups/3710913192351235,"onnut,sukhumvit,bangna","rent,sale,condo,house",,
(20+) ขาย-เช่า #บ้านหรูบางนา พัฒนาการ กรุงเทพกรีฑา รามอินทรา และพื้นที่ใกล้เคียง,https://www.facebook.com/groups/885692499381909,bangna,"rent,sale,house",,
(20+) ขาย-เช่า คอนโด BTS อารีย์ สะพานควาย จตุจักร ห้าแยกลาดพร้าว,https://www.facebook.com/groups/759662278347282,"ladprao,phayathai","rent,sale,condo",,
(20+) ขาย-เช่า บ้าน คอนโด นวมินทร์ ลาดพร้าว รามอินทรา รามคำแหง,https://www.facebook.com/groups/841959233498782,"ladprao,ramkhamhaeng","rent,sale,condo,house",,
(20+) ขาย-เช่าออฟฟิศ สำนักงาน โฮมออฟฟิศ กรุงเทพและปริมณฑล Sales & Rent office,https://www.facebook.com/groups/486508876679411,bangkok,"rent,sale,office",,
(20+) ขาย/ซื้อ/เช่า คอนโดย่าน BTS อุดมสุข ปุณณวิถี บางจาก อ่อนนุช เท่านั้น,https://www.facebook.com/groups/1954106731643341,"onnut,bangna","rent,sale,condo",,
"(20+) ขาย/เช่า บ้าน อ่อนนุช,พระโขนง,สวนหลวง,ประเวศ,บางจาก,พระโขนง,สมุทรปราการ",https://www.facebook.com/groups/1092573465375306,onnut,"rent,sale,house",,
(20+) ขายคอนโด เช่า ซื้อ,https://www.facebook.com/groups/2142662289316227,,"rent,sale,condo",,
(20+) ขายเช่า บ้านคอนโด จรัญสนิทวงศ์ ตลิ่งชั่น ท่าพระ บางแค ปิ่นเกล้า,https://www.facebook.com/groups/636391668545600,,"rent,sale,condo,house",,
"(20+) ขายเช่า บ้านคอนโด เจริญกรุง เจริญนคร พระราม3,4 สาทร สีลม ตากสิน บางรัก",https://www.facebook.com/groups/887643139838861,"silom,thonburi","rent,sale,condo,house",,
(20+) คอนโด กรุงธนบุรี วงเวียนใหญ่ โพธิ์นิมิตร ตลาดพลู วุฒากาศ บางหว้า ท่าพระ,https://www.facebook.com/groups/474095045035690,thonburi,condo,,
(20+) คอนโด กรุงเทพฯ และปริมณฑล ซื้อ-ขาย-เช่า,https://www.facebook.com/groups/760802348204680,bangkok,"rent,sale,condo",,
(20+) คอนโด จตุจักร หมอชิต ห้าแยกลาดพร้าว สะพานควาย อารีย์ พหลโยธิน อนุสาวรีย์,https://www.facebook.com/groups/973772067365917,"ladprao,phayathai",condo,,
(20+) คอนโด ชิดลม เพลินจิต นานา อโศก พร้อมพงษ์ ทองหล่อ เอกมัย พระโขนง อ่อนนุช,https://www.facebook.com/groups/3655328801449912,"asoke,thonglor,ekamai,onnut,silom",condo,,
(20+) คอนโด ซื้อ ขาย เช่า,https://www.facebook.com/groups/1882723421791849,,"rent,sale,condo",,
(20+) คอนโด บางจาก ปุณวิถี อุดมสุข บางนา แบริ่ง สำโรง,https://www.facebook.com/groups/2949518398684164,bangna,condo,,
(20+) คอนโด บ้าน ขาย-เช่า โซน บางนา สำโรง ปู่เจ้า ช้างเอราวัณ,https://www.facebook.com/groups/238980064660836,bangna,"rent,sale,condo,house",,
(20+) คอนโด บ้าน ปล่อยเช่าย่าน บางนา บางจาก อ่อนนุช อุดมสุข ใกล้bts mrt,https://www.facebook.com/groups/1434693950477853,"onnut,bangna","rent,condo,house",,
(20+) คอนโด บ้าน ย่านสุขุมวิท ซื้อ ขาย เช่า,https://www.facebook.com/groups/1260774814082489,sukhumvit,"rent,sale,condo,house",,
(20+) คอนโด บ้าน อสังหาประเทศไทย ซื้อ/ขาย/เช่า,https://www.facebook.com/groups/349519210778267,,"rent,sale,condo,house",,
(20+) คอนโด บ้าน เช่า ขาย ปล่อยเช่าย่านรามคำแหง บางกะปิ ลาดพร้าว พระราม 9 รัชดา,https://www.facebook.com/groups/1084717058362313,"ladprao,rama9,ratchada,ramkhamhaeng","rent,sale,condo,house",,
(20+) คอนโด บ้าน ให้เช่า ขาย ใกล้รถไฟฟ้า BTS MRT,https://www.facebook.com/groups/563748305572769,,"rent,sale,condo,house",,
(20+) คอนโด พระราม 9 ห้วยขวาง รัชดาภิเษก สุทธิสาร ศูนย์วัฒนธรรม ลาดพร้าว เพชรบุรี,https://www.facebook.com/groups/1345220926256266,"ladprao,rama9,huaikhwang,ratchada",condo,,
(20+) คอนโด พระโขนง อ่อนนุช บางจาก แบริ่ง สำโรง,https://www.facebook.com/groups/332798611835777,"onnut,bangna",condo,,
(20+) คอนโด พร้อมพงษ์ ทองหล่อ เอกมัย พระโขนง อ่อนนุช,https://www.facebook.com/groups/766632061317895,"thonglor,ekamai,onnut",condo,,
"(20+) คอนโด รัชดา พระราม9 อโศก สุขุมวิท MRT, BTS / Bangkok Condo",https://www.facebook.com/groups/476946341786094,"rama9,asoke,ratchada,sukhumvit",condo,,
(20+) คอนโด รัชดา ลาดพร้าว อ่อนนุช สุขุมวิท บางนา ใกล้เคียง,https://www.facebook.com/groups/173230473376662,"ladprao,onnut,ratchada,sukhumvit,bangna",condo,,
(20+) คอนโด สยาม ชิดลม เพลินจิต นานา อโศก,https://www.facebook.com/groups/1107182510216204,"asoke,silom",condo,,
(20+) คอนโด สาทร ช่องนนทรี เจริญกรุง สีลม ถนนจันทร์ พระราม 3 นราธิวาส เซนต์หลุยส์,https://www.facebook.com/groups/3557143704534567,silom,condo,,
(20+) คอนโด ห้วยขวาง รัชดาภิเษก สุทธิสาร ศูนย์วัฒนธรรม ลาดพร้าว เพชรบุรี พระราม 9,https://www.facebook.com/groups/2555641084645629,"ladprao,rama9,huaikhwang,ratchada",condo,,
(20+) คอนโด ห้องพัก เช่า ขาย สาทร สีลม - บางหว้า,https://www.facebook.com/groups/691988518250398,silom,"rent,sale,condo",,
(20+) คอนโด ห้องเช่า ที่พัก บ้านเช่า เช่า - ขาย กรุงเทพ กทม Bangkok,https://www.facebook.com/groups/1508927629253734,bangkok,"rent,sale,condo,house",,
(20+) คอนโด ห้าแยกลาดพร้าว พหลโยธิน รัชโยธิน เสนานิคม เกษตร ศรีปทุมบางบัว สายหยุด,https://www.facebook.com/groups/389993647364568,ladprao,condo,,
(20+) คอนโด เช่า ซื้อ ขาย ใกล้ ม.ศรีปทุม ม.เกษตร ราคาไม่แพง,https://www.facebook.com/groups/646153703600171,,"rent,sale,condo",,
(20+) คอนโด เอกมัย พระโขนง อ่อนนุช บางจาก บางนา แบริ่ง สำโรง ปากน้ำ,https://www.facebook.com/groups/237493983301104,"ekamai,onnut,bangna",condo,,
(20+) คอนโดกรุงเทพ โซน MRT เตาปูน บางโพ บางซ่อน วงศ์สว่าง ติวานนท์ buy/sell/rent,https://www.facebook.com/groups/731296317606415,bangkok,"rent,condo",,
(20+) คอนโดขาย ให้เช่าสุขุมวิทอ่อนนุช บางจาก อุดมสุข บางนา แบริ่ง สำโรง ปากน้ำ,https://www.facebook.com/groups/462178087311398,"onnut,sukhumvit,bangna","rent,sale,condo",,
(20+) คอนโดติดBTS MRT โซนเกษตร รัชโยธิน พระราม9 ห้วยขวาง,https://www.facebook.com/groups/226681229770730,"rama9,huaikhwang",condo,,
(20+) คอนโดบางนา แบริ่ง ลาซาล สำโรง เทพารักษ์ สมุทรปราการ,https://www.facebook.com/groups/405568155284957,bangna,condo,,
(20+) คอนโดปล่อยเช่า,https://www.facebook.com/groups/843691213564852,,"rent,condo",,
(20+) คอนโดปล่อยเช่า พระราม 9 / ห้วยขวาง / รัชดา รับ CO-Agent By ASK-Asset,https://www.facebook.com/groups/692217018143534,"rama9,huaikhwang,ratchada","rent,condo",,
(20+) คอนโดปล่อยเช่า พระราม9 อโศก ดินแดง รัชดา มักกะสัน Rooms For Rent Bangkok,https://www.facebook.com/groups/1286913692068792,"rama9,asoke,ratchada","rent,condo",,
(20+) คอนโดปล่อยเช่า หาคอนโด BTS MRT ฝั่งธน บางหว้า วุฒากาศ บางแค ท่าพระ เพชรเกษม,https://www.facebook.com/groups/1500567277373568,,"rent,condo",,
(20+) คอนโดปล่อยเช่า เอกมัย อ่อนนุช พระโขนง บางนา กรุงเทพ Prime Estate,https://www.facebook.com/groups/797652371325014,"ekamai,onnut,bangna","rent,condo",,
(20+) คอนโดฝั่งธนบุรี วงเวียนใหญ่ ท่าพระ ตลาดพลู เพชรเกษม บางแค ใกล้ BTS MRT,https://www.facebook.com/groups/3765008063548871,thonburi,condo,,
(20+) คอนโดพระโขนง เอกมัย อ่อนนุช ปุณวิถี บางจาก อุดมสุข บางนา ลาซาล แบริ่ง สำโรง,https://www.facebook.com/groups/1679077569169261,"ekamai,onnut,bangna",condo,,
(20+) คอนโดย่าน RCA อโศก เพชรบุรี พระราม9 รัชดา ห้วยขวาง,https://www.facebook.com/groups/1885651265229283,"rama9,asoke,huaikhwang,ratchada",condo,,
(20+) คอนโดอ่อนนุช พระโขนง บางจาก ปุณวิถี อุดมสุข บางนา ลาซาล แบริ่ง สำโรง เอกมัย,https://www.facebook.com/groups/790081599955387,"ekamai,onnut,bangna",condo,,
(20+) คอนโดเช่าโซน อนุสาวรีย์ พญาไท สยาม สีลม พระราม4 อโศก เอกมัย,https://www.facebook.com/groups/1079060329850312,"asoke,ekamai,silom,phayathai","rent,condo",,
(20+) คอนโดแถวเกษตร ศรีปทุม รัชโยธิน ลาดพร้าว สะพานใหม่ คูคต,https://www.facebook.com/groups/931917668680808,ladprao,condo,,
(20+) คอนโดและอสังหาฯแนวรถไฟฟ้า (ซื้อ ขาย เช่า),https://www.facebook.com/groups/163326257495081,,"rent,sale,condo",,
